Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response
Memory_Task,subject_55,6,10,10,1,1,10,10,10,1,4,1,10,10,1,10,7.8,10
Memory_Task,subject_55,12,5,10,1,10,10,10,1,1,10,2,10,10,1,9.7,9.2,9.5
Memory_Task,subject_55,10,10,1,1,1,10,10,10,1,2.3,1,10,10,1,10,10,10
GoNoGo_Task,subject_55,6,8.3,1,3,1,1,10,1,3.1,9.2,8.1,1.4,9.6,1,5.8,1,1
GoNoGo_Task,subject_55,-15,10,1,9,1,1,10,1,1,10,9,2,10,1,7.2,1.5,10
GoNoGo_Task,subject_55,-12,10,1,10,1,1,10,1,1,9.5,1,8.7,10,1,7.3,1,10
Memory_Task,subject_56,8,2.8,2.8,1,1,3.7,10,5,7.4,7.4,1,1,9,5.9,5.3,10,10
Memory_Task,subject_56,-5,10,10,1,1,10,10,10,5.5,1,4.3,10,10,1,10,10,10
Memory_Task,subject_56,10,10,10,1,1,10,10,10,6.8,2.8,7.5,1,10,4.8,10,10,10
GoNoGo_Task,subject_56,-10,9.6,3.9,9.7,1,1,10,2.1,9.1,10,4.1,10,10,10,8.9,10,2.2
GoNoGo_Task,subject_56,14,10,10,8.6,1,7.1,10,1,10,10,4.7,10,9.5,10,5.3,10,9.5
GoNoGo_Task,subject_56,13,10,10,8.4,5.1,1,10,7.3,10,10,3.7,10,10,10,7.6,10,10
Movie_Task-bridge,subject_56,9,2.4,1,1,1.4,8.6,7.9,1,1,1,2.7,10,5.7,1,7.3,1,1
Movie_Task-bridge,subject_56,9,8.2,1,1,1,8.1,8.4,1,1,1,1.6,9.4,4.9,1,8.5,1,1
Hard_Math_Task,subject_56,7,10,1,1,1,1,1,1,1,1,1,10,10,1,1,1,9
Hard_Math_Task,subject_56,-11,10,1,1.1,1,1,1,1.8,1,1,4.7,10,8.3,1,1.1,1,7.5
Hard_Math_Task,subject_56,9,9,6,2,1,1,8,6.9,7.8,5.6,2.5,1.7,9.3,7,6,7.5,5.9
GoNoGo_Task,subject_57,-7,3.4,7.9,7,5.9,1,7.4,5.7,9.4,6.2,3.7,5,6.6,9,8.2,8.7,3.6
GoNoGo_Task,subject_57,12,3.8,2,9,5,3.7,7.8,4.1,2.5,6.3,7.7,7.4,8,8.5,8.3,7,6.1
GoNoGo_Task,subject_57,-13,7,8.2,6.8,7.3,2.2,6.7,10,7.5,4.3,3.4,6.5,7.3,8,4.5,7.7,8.2
Memory_Task,subject_57,9,7,9.4,3.5,7.4,10,10,10,5.6,6.5,6,4,6.9,3.3,10,7.4,7.5
Memory_Task,subject_57,12,7.8,2.1,8.7,3.8,9.1,9,4,6,7.3,5.5,6.5,4.6,7.3,5,10,4.6
Memory_Task,subject_57,-6,10,2.5,4,8.3,5.5,10,9.2,8,5.9,10,6.7,10,5.4,2.8,9,8.4
Hard_Math_Task,subject_57,9,7.5,4.6,10,4.8,1,6.9,8,1.5,2,4.1,8,8.1,6.3,5.2,7.8,8.1
Hard_Math_Task,subject_57,-5,2,6,7,4.3,3.3,7.5,4.2,3,7.7,4,6.5,5.1,4,3.9,5.3,8
Hard_Math_Task,subject_57,-5,5.8,7.5,7.1,6,3.3,1.8,5.9,7,4,5.3,1.2,6,5.1,5.3,4,6.7
Movie_Task-bridge,subject_57,10,5.7,5.4,7.3,8,4.2,7,9,5.9,7.2,6.8,7.1,7.2,7.5,8.4,8.1,5
Movie_Task-bridge,subject_57,10,7,5.6,4.5,5.3,4.5,8,6.3,6.8,4.9,7,6.7,7.1,4.3,7.2,5.5,4
Movie_Task-bridge,subject_58,12,5.1,5,6.1,4,2.1,8,5.1,1.6,9,6.1,7,3.7,6,7,5.5,5.3
Movie_Task-bridge,subject_58,12,5.3,3.8,2.3,2,1,5.8,3.6,5.5,4,4,2.7,4,2.6,9.8,4.3,5.7
Hard_Math_Task,subject_58,5,5.7,1.1,10,1,1,4,5.5,3.5,7.5,9.4,1,1,1,5.7,6.4,7.4
Hard_Math_Task,subject_58,13,4,2.6,7.2,1,4,1,3.6,2,5.2,7.2,4.5,1,3,8,6.2,6.5
Hard_Math_Task,subject_58,8,5.8,1,6.5,1.5,1,1,5,3,2.6,2.5,7.6,3.8,6,7.2,1.9,6.5
GoNoGo_Task,subject_58,-5,9.1,4.2,1,1,1,2,1.2,9.7,8.9,10,1,1,1,6.1,1,1
GoNoGo_Task,subject_58,11,5.4,1.4,4,3,1,2,3.1,8.2,4.7,8.6,2.1,4.9,4.7,7,4.5,5.4
GoNoGo_Task,subject_58,9,5,2.8,3,1.1,1,7.9,1,8,7.7,5,6.7,2.3,3.8,8.1,1.4,10
Memory_Task,subject_58,-14,7,9,3.4,6.9,6,9,10,4,4.5,4.1,7,7,7,6,7.9,10
Memory_Task,subject_58,-13,4,8.8,6,2,1,10,10,9,3.4,5,10,5,6,7,10,10
Memory_Task,subject_58,6,9.5,10,5.4,2,10,10,10,2.3,2.7,2.8,9.8,9,1.4,10,5.1,10
Memory_Task,subject_59,11,7.6,8.6,4.8,5.9,6.1,7.6,5.4,5.5,6.9,6.2,5.1,5.3,7.4,9,8.7,10
Memory_Task,subject_59,9,7.1,8.2,2,3.3,8.5,10,10,9.9,1.2,5.1,4.9,8.1,8.3,9,10,7.5
Memory_Task,subject_59,-10,6.4,7.5,2,1.9,5.2,10,9.8,8,6.4,3.6,2.6,4.5,5.7,10,7.3,9
GoNoGo_Task,subject_59,13,7.1,10,8.5,2,1.4,6.3,3.7,8.1,5,6.4,7,5.8,7.1,1,8,8
GoNoGo_Task,subject_59,9,7.2,9.1,7.9,3,4.9,6.5,3,7.8,5,7.2,6.4,6,7.4,2.6,7.5,8.5
GoNoGo_Task,subject_59,13,5.2,9,8.2,3.4,3.9,2.6,8.2,7.6,7.3,4.6,4.9,6.4,6.8,2.3,7.1,7.6
Movie_Task-bridge,subject_59,6,6.6,6.9,7.1,4.4,6.4,8,4.9,7.8,6.9,7,6.5,3.7,8.6,8.9,4.6,8
Movie_Task-bridge,subject_59,6,7.3,6.6,4.2,2,3.1,5,4.5,7.9,4.8,3.5,5.9,8.4,5.8,4.2,10,8.6
Hard_Math_Task,subject_59,6,4.5,1,6.3,2,1,5.8,4.7,10,4.1,3.7,8,4.2,5.5,4.7,1,8.7
Hard_Math_Task,subject_59,-15,5,4.8,5.1,5.2,2,2.6,5,5.3,3.8,3.6,5.5,5.8,5.5,4.7,2.9,7
Hard_Math_Task,subject_59,12,4.8,6,7,5.7,1.7,2.3,1.9,5.9,4.2,3.4,6.7,5.7,6.7,3.1,3.4,5.1
GoNoGo_Task,subject_60,-14,1,1,10,1,1,6,1,1,1,1,4.8,5.2,1,10,1,1
GoNoGo_Task,subject_60,-6,10,1,10,1,10,10,1,1,1,5.4,1,1,1,10,10,1
GoNoGo_Task,subject_60,13,10,1,10,1,10,10,1,1,1,1,1,10,1,10,10,10
Movie_Task-bridge,subject_60,-6,10,10,1,1,10,10,10,1,1,1,5.3,4.9,1,4.8,1,10
Movie_Task-bridge,subject_60,-6,10,10,1,1,1,10,1,1,1,1,1,10,1,10,5,10
Hard_Math_Task,subject_60,-6,10,1,10,1,1,10,1,1,1,1,10,1,1,10,1,10
Hard_Math_Task,subject_60,9,10,1,10,1,1,10,1,1,1,1,10,10,1,10,10,10
Hard_Math_Task,subject_60,-13,10,1,10,1,1,10,1,1,1,1,10,10,1,10,10,10
Memory_Task,subject_60,-15,10,10,10,1,10,10,1,1,1,1,10,10,10,10,10,10
Memory_Task,subject_60,11,10,10,1,10,10,10,1,1,1,1,10,10,10,10,10,1
Memory_Task,subject_60,14,10,10,1,10,10,10,10,1,1,1,10,10,10,10,10,10
Hard_Math_Task,subject_61,9,7.2,7.5,9.1,10,1,1,5,5,2.3,6,3.4,2.3,1,3.5,4,7.1
Hard_Math_Task,subject_61,14,9.5,7.2,7.9,10,1,1,6.7,4.4,6.9,6.6,2.8,7.1,1.7,6.9,7.3,6.9
Hard_Math_Task,subject_61,10,9,6.9,8,10,1,1,4.2,6.9,7.9,6,5.4,5.9,6.1,5,4.7,9.3
Movie_Task-bridge,subject_61,-8,2.2,6.4,1.7,4.9,1,1,6.7,4.4,1.6,3.3,1.5,2.3,3.2,5.9,3.4,2.2
Movie_Task-bridge,subject_61,-8,2.2,2.6,2.9,8,1,1,7.5,2.9,2.8,5.2,4.1,1.9,6.4,5.4,3.1,6
Memory_Task,subject_61,-6,2.3,8.2,3.4,9.7,1,5.2,9.5,7,7.3,6.8,6.2,6.1,2.8,3.9,3.6,7.5
Memory_Task,subject_61,-5,5,2,1.4,9.1,1,7.8,9.1,3.7,3.2,5.6,4.6,4.3,1.3,9.9,6,9.3
Memory_Task,subject_61,10,5.1,1.7,2.7,10,1,4.1,3.9,6.2,7.2,5,1,2.2,8.6,7.3,8,2.5
GoNoGo_Task,subject_61,-11,8.1,3,6.7,9,1,2.4,1.4,6.7,3.1,3,1.7,1.2,2,2.2,3.9,1
GoNoGo_Task,subject_61,9,8.7,1,7.8,6.7,1,7,8.8,4,2.9,4.5,2,1.7,6.5,6.9,4.7,8
GoNoGo_Task,subject_61,13,6.7,6.7,8.3,10,1,4,1.5,7.2,7,3,2.1,3,7,2.3,6.9,8.2
Memory_Task,subject_62,15,4.5,10,1,10,10,9.1,10,2,8,6.1,9,5.9,1,4.9,10,10
Memory_Task,subject_62,9,8.2,10,1,9,8.5,10,10,1,5.9,2.2,4,8.9,1,1,8.3,10
Memory_Task,subject_62,-10,7.8,1.1,1,9.2,3.3,10,10,2,7,1.5,2.6,2.7,1,5,3.2,10
Movie_Task-bridge,subject_62,-15,1.6,7,1,5.2,1,1.5,7.4,1.5,1,1,1,1,1.4,5.5,1,10
Movie_Task-bridge,subject_62,-15,3.3,7.1,1,5.7,1,7.2,5.1,1,6.5,1,3.9,4.2,7.7,8.8,1,7.6
GoNoGo_Task,subject_62,6,7.4,7.5,10,1,1,10,1,10,10,8.7,1,10,9,1,10,1.9
GoNoGo_Task,subject_62,13,10,1,3.5,8,1,5.2,7.1,3,10,4.5,8.8,8.1,2.5,5.4,3.9,7.9
GoNoGo_Task,subject_62,-13,3.1,1.9,2.5,9.1,1,8.2,7.5,5.2,3.8,4.4,2,2.3,8.3,5.2,8.8,5
Hard_Math_Task,subject_62,5,10,1,8.6,10,10,8.7,1,1,10,1,10,10,1,5.1,1,7.3
Hard_Math_Task,subject_62,-8,9.2,1,6.8,10,7.5,9.2,2.5,2.2,10,2.9,8.3,10,1,5,1,9
Hard_Math_Task,subject_62,10,3.9,5.5,6.9,8.2,10,9.5,7.8,8.4,3.7,6.3,2.3,4.8,1,5,1,10
Movie_Task-bridge,subject_63,-6,7.6,6.2,2,8.5,1,8.8,9.2,3.7,2.8,2,8.4,7.8,8.9,3.9,6.9,8.9
Movie_Task-bridge,subject_63,-6,9.5,7.4,3.1,1,8.1,9,7.9,4,5.1,1.8,7.7,2.9,7.6,5.1,8,7.6
Memory_Task,subject_63,-14,7,8,1.7,2.3,2.6,9.3,8.8,9.3,2.2,1.8,8.2,8,2.5,3.9,9.1,9.6
Memory_Task,subject_63,12,9.4,9,2,2,1.3,8.7,9.5,4.1,2.2,2,9.5,9,1.9,8,8.7,9
Memory_Task,subject_63,15,8.1,9.1,1.4,1.6,1.5,8.5,9.5,6.2,6.5,2.5,9.2,9,1.2,9.7,8.1,10
Hard_Math_Task,subject_63,5,8.5,2.6,8.4,1.4,1.1,2,2.2,8.7,7.8,9,2.2,2.7,1.8,7.2,8.4,8.5
Hard_Math_Task,subject_63,-13,8.9,8.5,9.3,1,9.7,1.8,2,6.1,2.3,1.8,8.7,2.1,2,7.7,4,9.1
Hard_Math_Task,subject_63,-5,9,2,9.6,1.4,1.3,1.4,1.9,8.7,8.9,9.1,9.4,2.5,9,2.2,2.3,8.8
GoNoGo_Task,subject_63,11,9.3,2.1,2.7,9.6,7,8.5,7,9,9.3,6,2.2,2,9.3,2.3,2,3
GoNoGo_Task,subject_63,-5,9.1,8,9.3,3,2.3,9,9.4,9.5,10,2.4,2.1,7.6,7.8,1.5,10,9.1
GoNoGo_Task,subject_63,13,9,8,2.3,8.5,9.1,8,7.9,9.4,8.9,9,3,8.9,9.4,2.7,9.2,8.4
Memory_Task,subject_64,10,8,10,6.3,7,2.2,6,10,8.3,6.9,1,7,7.8,1,8,10,10
Memory_Task,subject_64,14,8,9.4,7.7,7.1,7.5,10,10,2,8,1.1,9.2,7.8,1,10,7.8,10
Memory_Task,subject_64,-12,10,9,1.8,10,10,3.7,10,6.5,8.4,1.3,7.6,10,3.8,10,3,7
Movie_Task-bridge,subject_64,8,3.1,10,7.5,8,6,3.6,7.2,5.5,10,1,2.9,3.4,2,5.9,1,6.3
Movie_Task-bridge,subject_64,8,4.1,8.3,3,3.6,4,2.2,3,2,8.1,2.6,3.2,2.5,1,3.7,2.4,2.7
Hard_Math_Task,subject_64,5,8.8,1,10,10,2.8,8.9,10,1,10,3.1,10,5.7,1.6,5,8,10
Hard_Math_Task,subject_64,-10,7.6,3.2,10,5.1,5.8,6,7.5,7,7,3.2,9,6.4,5.4,3.7,4.3,9.1
Hard_Math_Task,subject_64,7,4.2,3.5,8.3,6.7,4.1,3.8,7.9,6,4.6,2,7.4,7.8,2.9,7.3,4.3,7.7
GoNoGo_Task,subject_64,7,5.6,3,9,9,4,9,1.1,3,7.3,3.5,5.4,4.3,2.2,3.7,8,3.9
GoNoGo_Task,subject_64,-5,3.9,2.1,5.4,5.7,3.1,4.5,2.4,3.3,4.4,4,4.4,3.4,1,6.6,2.4,10
GoNoGo_Task,subject_64,-11,2.4,2.3,10,5.2,3.6,6.5,8.7,3.4,9,4.1,3,7.6,3.1,8.2,7.2,10
Memory_Task,subject_65,-12,4.5,8,1.5,2,1.5,8.5,9,6.5,4,7,5,3,7,5,9,8
Memory_Task,subject_65,9,4,9.5,1,5.5,7,4.5,9,2,1.5,1,6,4,9,2,5,9
Memory_Task,subject_65,-9,4,7,9,2.5,2,4.5,3,1,1,3,7.5,5.5,9,9,9.5,8
Hard_Math_Task,subject_65,12,10,1,9.5,3.5,2,2.5,3,1,1,1,8.5,5,1,4,2,9.5
Hard_Math_Task,subject_65,9,8.5,2,9,3,2,5,5,2.5,10,2.5,10,6,1.5,4,2.5,9
Hard_Math_Task,subject_65,15,8.5,2,9.5,5,1,2,2,2,1,1.5,9,2,1.5,5,3,9
GoNoGo_Task,subject_65,-7,7,2,10,2,2,2,3,8.5,10,4,5,1,5,2.5,3,1.5
GoNoGo_Task,subject_65,8,9.5,1,8.5,2,2,2,4,3,1.5,1.5,5,4,3,3,6.5,6
GoNoGo_Task,subject_65,-5,4,3.5,6.5,1.5,1,3,4,6,3.5,5,5,2,6,5,7.5,6.5
Movie_Task-bridge,subject_65,-10,8.9,8,6.7,3.9,3.8,3.6,8.1,3.2,4.2,2.7,2.7,4.2,8.7,6.9,4,8.6
Movie_Task-bridge,subject_65,-10,9.1,7.2,2,2,2.1,4.3,6.8,4.7,1.4,4.5,1.8,1.9,9.2,3.3,5.8,7.7
Memory_Task,subject_67,12,8.5,10,1,2.1,10,10,10,8.1,1.4,1,10,7.9,1,10,5.5,10
Memory_Task,subject_67,-5,8.5,7.5,1,1,2.1,10,10,6.4,10,1,8,8.3,1,10,9.3,10
Memory_Task,subject_67,7,9.1,2,1,1,5.4,10,10,8,7.6,2.7,5.5,9,1,5.2,10,9.1
GoNoGo_Task,subject_67,-10,10,1,10,1,1,8.6,1.2,1,10,1,9.4,2,1.6,4.9,1.2,7.1
GoNoGo_Task,subject_67,11,10,1,10,1,1,9.1,1.4,1,10,1,9.3,2.1,1.9,4.9,1,6.6
GoNoGo_Task,subject_67,-10,10,1,10,1,1,4.9,1.2,1,10,1.6,9,2,1.3,4.8,1.6,10
Movie_Task-bridge,subject_67,-14,8.2,6.2,2.2,1,1,9.3,6.6,7.8,2.6,3.4,4,3,1,3,1,1.7
Movie_Task-bridge,subject_67,-14,3.9,2.1,1,1,1,9,1.7,6.9,7.4,1,4.4,3,6.8,5.7,9.2,10
Hard_Math_Task,subject_67,-15,10,1,10,1,1,10,1,1,10,1,10,5.3,4.8,9.9,1,10
Hard_Math_Task,subject_67,13,10,1,10,6.7,1,7.8,1,1,10,1,10,5.7,2.4,10,1,10
Hard_Math_Task,subject_67,11,10,1,10,4.2,1,7.4,2,1,10,1,10,5,1.7,10,1,10
Hard_Math_Task,subject_68,10,2.6,1.8,8,1,1,1,6.4,1,2.4,8,2,1,1,3.7,6,8
Hard_Math_Task,subject_68,-13,8,1,3.3,1,1,1,1,3.3,1,3.6,8,8.8,1,6.1,6,7.5
Hard_Math_Task,subject_68,13,9.5,3.6,3.9,6.3,2.9,2.3,1,6.2,6.3,7.6,3.5,4.9,1.9,1.4,5.6,7.6
Movie_Task-bridge,subject_68,8,6.4,7.5,1,7,7.1,8.6,3.5,1.9,1,1,9,7.3,6,10,3.6,8.4
Movie_Task-bridge,subject_68,8,6.6,6.2,1.7,6.9,2.6,8,4.5,4.1,4.4,2,10,9,6.7,10,6.1,7.7
GoNoGo_Task,subject_68,-6,7.7,8,7.1,6.5,1,1,10,9,9.4,7.1,5.7,2.3,7.9,3.9,8.8,6.3
GoNoGo_Task,subject_68,-9,10,10,7.3,9.3,7.1,8.1,10,10,9.4,8,1,4.6,7.7,8.6,8,9
GoNoGo_Task,subject_68,-13,7.1,8.4,2.8,8,8.7,6.3,8.5,10,10,8.9,1,6.1,6.6,6,8.3,8
Memory_Task,subject_68,-13,3.4,2.9,6.1,6.1,1,9.3,10,10,9.2,8,5.6,1,1,1,10,2.6
Memory_Task,subject_68,11,10,10,3.1,4,7.3,10,9,2.3,2.5,2.4,10,10,10,10,8.9,7.4
Memory_Task,subject_68,-14,3.8,3.1,9.8,4.5,1,9,9.9,10,7.6,6.4,1.7,4.4,8.2,1,10,8.7
Memory_Task,subject_69,8,3.4,10,1,10,4.1,10,10,8.3,1.6,1,1,10,1,5.8,3.5,10
Memory_Task,subject_69,-10,7.3,10,1,1,6.5,10,10,2.8,10,2,7.9,10,1,10,10,10
Memory_Task,subject_69,12,10,7.2,1,1,1,10,10,1.6,7,1,8,10,1,10,5.7,10
GoNoGo_Task,subject_69,12,7.1,10,1,5.3,5.4,10,10,2.3,5.3,1,8.7,10,1,10,10,10
GoNoGo_Task,subject_69,-10,8.2,10,1,8.1,6.9,10,10,2.3,9.1,1.6,8.6,10,1,10,10,10
GoNoGo_Task,subject_69,-14,8.2,10,1,7.3,8.4,10,10,1.8,8.3,1.3,8.8,10,1,10,10,10
Hard_Math_Task,subject_69,-5,3.9,1,10,1,1,1,1,2,1,6.2,3.4,8.2,1,4.9,5.5,5
Hard_Math_Task,subject_69,-5,7.8,1,10,1,1,1,1,2,1,2.3,7.6,8,1,7.9,1,8.6
Hard_Math_Task,subject_69,-6,10,1,10,1,1,1,1,1.1,1,1,10,9.5,1,5.4,1,10
Movie_Task-bridge,subject_69,-14,1,1,1,1,7.1,1,5.7,5.2,5.3,1,5.9,8,1,5.2,1,1
Movie_Task-bridge,subject_69,-14,4.9,1,1,1,1,10,10,2.3,1,1,5.9,9.1,1,5.5,3.7,10
GoNoGo_Task,subject_70,12,6.3,1.9,7.4,6.8,2.1,8.5,2.2,4.7,1.9,3.9,1.9,2.9,1,2.2,6,5.9
GoNoGo_Task,subject_70,-7,2.3,1,5.9,4.3,1.2,2.9,7.2,4.3,4,6.6,1.1,5.2,3.5,1.4,1.5,6.4
GoNoGo_Task,subject_70,-5,7.2,1.8,7.4,3.8,1.6,7.9,5.2,7.7,3.2,9.7,1.3,2.1,3.2,1,5.1,6.2
Movie_Task-bridge,subject_70,-10,7.9,7.6,1.6,9.2,6.3,6.5,6.4,2,1,1,3.5,7.1,2.1,9.2,2,6.9
Movie_Task-bridge,subject_70,-10,8.3,3.9,2.6,2.4,3.2,5.2,3.6,1.6,2.7,1.9,4.3,6.3,5.7,9.8,4.5,7.2
Memory_Task,subject_70,-13,6.3,8.2,1.7,7.6,4.2,7.3,8.3,4.6,2.3,4.7,6.5,7,2.9,7.6,9,9.2
Memory_Task,subject_70,8,2.8,8.5,1.1,6.7,2.8,6.2,7.4,6.3,6.1,7.1,4,7,2,6.2,9.7,6.2
Memory_Task,subject_70,-5,3,9.7,1,6.1,3,7.8,8.8,6.4,3.5,4.3,4,3.4,1.9,6.5,3.1,3.9
Hard_Math_Task,subject_70,7,7.7,1,7.2,6.3,2.9,1.6,1,3,8.3,4,8,6.2,2.7,7,3.6,6.2
Hard_Math_Task,subject_70,12,6.8,3.2,5.2,8.1,1,1,7,7,4.6,5.3,3.6,4.8,3.5,5.3,5.8,8.4
Hard_Math_Task,subject_70,15,4,7.1,6.4,10,1,3,6.1,6.6,5,6.2,2.9,3.4,3.1,6.6,7.1,6.4
Hard_Math_Task,subject_71,10,10,2.8,10,1,10,1,1,1,10,1,7.6,7,1,5,1,10
Hard_Math_Task,subject_71,8,8,2.6,10,1,10,1,1,3,9,2.6,10,3.1,2.5,5,1,10
Hard_Math_Task,subject_71,-14,10,1,10,3.1,10,1,1,1,10,1,9,1,1,7,1,9
GoNoGo_Task,subject_71,-14,10,1,10,10,10,1,1,1,10,5.5,6.4,1,1,1,1,1
GoNoGo_Task,subject_71,-15,10,1,10,10,10,1,4.2,1,10,2.6,6.3,6.7,1,1.5,1,2
GoNoGo_Task,subject_71,14,7.3,4,4.3,3.2,10,1,6.9,3,7.6,4.2,6.3,1,3.3,5,1,10
Movie_Task-bridge,subject_71,8,4.4,2.7,1,1,10,1,2,6,6.7,5,1,1,1,5,1,3
Movie_Task-bridge,subject_71,8,10,7.7,2.3,10,10,1,1,10,1,10,1,1,7.3,4.3,10,2.8
Memory_Task,subject_71,8,10,9,1,10,10,10,3.9,10,10,10,7.8,1,1,1,10,10
Memory_Task,subject_71,14,10,10,3.9,10,10,8.4,10,4.9,7.1,10,4.1,7.3,1,7,10,8
Memory_Task,subject_71,10,10,10,3.1,10,10,10,10,1,1,2.8,1,2.6,10,4.5,9.2,8.2
Movie_Task-bridge,subject_72,12,4.2,7.4,5.2,7,8,6.8,5.7,4.2,5.6,3,3.7,4,6.9,5,3,6
Movie_Task-bridge,subject_72,12,4.7,6,4.2,4.3,7.1,8,10,3.1,6.3,4,5,5.1,3,7,6.8,6.5
GoNoGo_Task,subject_72,10,3.2,1,5.8,1,1,10,1,4.1,5,5.7,1,5,3,5.4,3.9,3.3
GoNoGo_Task,subject_72,-5,8,1,6,3,1.1,10,1.3,5,8.6,2,4,7,1,4.7,6,3
GoNoGo_Task,subject_72,8,10,8,4.8,5,1,10,5.7,6.3,10,3.6,1.1,1,2,5.1,1,3.1
Hard_Math_Task,subject_72,-9,1,1,10,1,1,1,1,1,10,5.2,10,10,6.4,10,1,9
Hard_Math_Task,subject_72,-7,10,6,1,1,1,1,2,4.8,10,4.2,9.8,8.2,1,6,1,10
Hard_Math_Task,subject_72,-11,4.8,1,10,1,1,1,5.4,2.8,10,1.6,10,9,1,7,1,8.8
Memory_Task,subject_72,12,10,7,2.5,10,10,10,10,3.3,5,8,8,10,9,8.8,10,9
Memory_Task,subject_72,-11,8,10,2,8,9,10,10,5,6.7,9,8.9,9,9,10,9,9.8
Memory_Task,subject_72,11,8.9,10,9.5,9.6,10,10,10,5.5,9.3,6.7,10,10,10,10,10,9.8
Hard_Math_Task,subject_73,-13,3.1,1,10,6.4,9.7,2.1,2.7,2,10,3,7.3,6.4,1,5,2,10
Hard_Math_Task,subject_73,7,6.7,1,10,7.6,5,2.8,6.8,1,10,4.7,3.7,8.3,8,3.7,1,9.9
Hard_Math_Task,subject_73,14,5.9,1,3.3,8.4,8.2,1,10,7,4,3.1,3,3,8.2,1.9,1.3,10
GoNoGo_Task,subject_73,-15,3.9,1,8.9,1,1,1,1,1,10,3.3,7.7,6.6,7.7,4.3,1,3.1
GoNoGo_Task,subject_73,8,6.5,1,6,1.6,1,1,8.8,2.4,6.8,2.4,2,5.5,6.5,2.3,1,9.2
GoNoGo_Task,subject_73,9,4.6,1,3.8,2.1,1.9,1,6.6,1,3.7,1,2.3,3.2,7.6,1.9,1,5.6
Memory_Task,subject_73,7,4.2,6.4,3.5,8,8,10,10,1,3.9,1.2,7.2,10,1,5.7,10,5.2
Memory_Task,subject_73,7,3.9,9.7,7.8,8.7,9.2,10,10,1.3,5.3,2.6,6.6,7.5,1,7,10,9
Memory_Task,subject_73,-6,4.2,1,5.4,6.2,3.4,7.1,1,1,7.3,2.5,7.2,5.7,8.8,5.5,8,6.7
Movie_Task-bridge,subject_73,-14,7.4,6.8,6.6,8.9,8,8,1,2.7,9.7,1.3,9.1,7.2,6.2,5.7,1,4.5
Movie_Task-bridge,subject_73,-14,2.7,7.5,6,9.4,8.6,6.8,1,3.5,7.9,1.6,1,2.8,7.1,6.9,1,5.8
Hard_Math_Task,subject_74,-8,3.8,4.5,7.9,10,1,1,1,6.2,2.3,6.2,5.4,5,1,4.9,8.8,1.4
Hard_Math_Task,subject_74,14,3,6.3,8.2,8.7,2.1,2.2,6.5,6.4,3.4,6,3.6,6.8,2.6,3.5,6.7,6.3
Hard_Math_Task,subject_74,-5,2.8,5.9,8.4,8.4,1,2.4,7.7,2.8,7,6.9,2.3,7.3,6.3,3,7.1,8.1
Movie_Task-bridge,subject_74,14,2.2,7.9,9.2,5.5,2.9,7.5,5.8,2.8,6.7,1.4,5.9,5,6.3,3.9,9.3,6
Movie_Task-bridge,subject_74,14,2.3,5.2,8.3,5.7,2,2.2,6,3.3,3.3,1.7,3.1,8.7,9.5,4.5,9.5,5.7
Memory_Task,subject_74,-10,2.6,10,2.9,8.8,2.7,4,9.8,3,2.6,2.6,8.9,7.9,3,4.1,10,9
Memory_Task,subject_74,-11,7.2,8.2,1,10,4,3.8,10,3,3.2,1.7,9,9.2,1,6.7,8.7,10
Memory_Task,subject_74,-14,7,9,1.2,10,6.1,10,10,2.5,1,3.2,10,7,1.6,9.5,5.5,9
GoNoGo_Task,subject_74,-14,2.8,1,8.4,6.2,2.2,1.2,2.4,9,2.8,7.8,2.5,7.5,7.5,4.3,10,2.5
GoNoGo_Task,subject_74,8,1.9,1,7.4,6.5,1.2,1.5,8.2,5.6,2.7,4.9,3.5,2,2.6,4.2,8.4,7.2
GoNoGo_Task,subject_74,14,3.5,7.9,8.2,8.1,3.5,2.8,7.4,3.5,6,5,3.2,5.6,2.8,3.1,6.9,4.5
GoNoGo_Task,subject_75,-11,5.6,1,1,1,1,2,1,1,1.1,1.3,3.7,4.1,3.9,5.7,1,4.9
GoNoGo_Task,subject_75,13,7,1,3.5,1,1,1,6.1,1,1,1,9,2,8.7,5.3,3.2,7.6
GoNoGo_Task,subject_75,7,4.5,1,1,2,1,1,5.7,5.7,5.8,2.5,4.7,1.3,5.7,4.9,1.4,6.3
Hard_Math_Task,subject_75,-10,9.5,1,5.6,1,1,1,7.6,1.3,1,1,9.3,9.1,2.2,6.6,7.9,9.3
Hard_Math_Task,subject_75,-10,7.6,1,3.6,1,1,1,2.1,1.5,1.9,1,8.6,7,1.7,6.1,4.9,8.9
Hard_Math_Task,subject_75,13,2.8,2.2,2.3,1,1,1,2.6,6.1,4.2,5.7,4.3,1.8,1,5.6,2.5,7
Memory_Task,subject_75,11,7.2,10,3.9,1,1,10,9.9,1,8.3,5.2,8,8.5,9.3,6.9,9.6,8.6
Memory_Task,subject_75,11,4.6,9.5,2,3.5,4.1,10,7.6,1.8,5.6,1.9,8.6,7.7,7.3,3.9,8.1,8
Memory_Task,subject_75,9,6.8,10,1,1,9.9,10,7.7,2.9,1.5,7.4,3.2,6.9,1,5.6,1,8.4
